City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Elizabeth,67,ZA,1584468905,77,-33.92,25.57,69.8,5.82
Gladstone,2,AU,1584468967,68,-23.85,151.25,69.8,6.93
Dublin,20,US,1584468858,66,37.7,-121.94,54,1.32
Northam,43,AU,1584468968,76,-31.67,116.67,63,5.82
Dhārchula,0,IN,1584468968,43,29.85,80.53,35.33,10.25
Shimoda,0,JP,1584468968,61,34.67,138.95,55,1.01
Puerto del Rosario,75,ES,1584468877,55,28.5,-13.86,66.2,20.8
Broome,0,AU,1584468968,74,-17.97,122.23,86,9.17
Itaueira,38,BR,1584468968,65,-7.6,-43.03,85.91,2.8
Iracoubo,71,GF,1584468969,74,5.48,-53.2,80.69,11.18
Ulladulla,0,AU,1584468969,93,-35.35,150.47,57.2,8.05
São José da Coroa Grande,89,BR,1584468969,76,-8.9,-35.15,83.39,13
Peruíbe,19,BR,1584468969,81,-24.32,-47,78.17,8.61
Vicksburg,75,US,1584468783,64,32.35,-90.88,77,6.93
Talcahuano,0,CL,1584468969,56,-36.72,-73.12,69.8,12.75
Bintulu,75,MY,1584468969,100,3.17,113.03,77,3.36
Candoni,1,PH,1584468970,79,9.82,122.6,79.61,12.68
Simpang,89,ID,1584468970,98,-1.27,104.08,74.93,2.24
Inhambane,0,MZ,1584468970,64,-23.86,35.38,75.2,6.93
Ballina,40,AU,1584468970,93,-28.87,153.57,60.8,11.54
Ukiah,90,US,1584468865,81,39.15,-123.21,50,0.56
Berezovyy,100,RU,1584468725,83,51.67,135.7,19.67,3.09
Korhogo,74,CI,1584468963,52,9.45,-5.63,85.19,11.25
Eydhafushi,0,MV,1584468970,79,5.1,73.07,84.29,20.02
Omsukchan,100,RU,1584468971,95,62.53,155.8,-0.67,2.17
Kawalu,56,ID,1584468971,93,-7.38,108.21,70.79,2.75
Sobolevo,97,RU,1584468971,91,54.43,31.9,34.79,4.65
Encruzilhada,99,BR,1584468971,63,-15.53,-40.91,80.33,4.88
Jacqueville,20,CI,1584468971,84,5.21,-4.41,86,12.75
Saint-Paul,20,RE,1584468971,83,-21.01,55.27,77,4.7
Pitimbu,75,BR,1584468971,62,-7.47,-34.81,87.8,10.29
Cayenne,37,GF,1584468891,58,4.93,-52.33,87.8,10.29
Āwash,89,ET,1584468972,51,8.98,40.17,81.05,9.33
Srīvardhan,0,IN,1584468972,56,18.03,73.02,78.53,5.77
Novo Aripuanã,85,BR,1584468972,57,-5.12,-60.38,92.57,3.76
Hudiksvall,16,SE,1584468799,73,61.73,17.1,44.01,3
Inuvik,75,CA,1584468972,92,68.35,-133.72,14,4.7
Eucaliptus,40,BO,1584468973,48,-17.58,-67.52,64.4,9.17
Sterlitamak,0,RU,1584468973,90,53.62,55.95,22.91,8.59
College,1,US,1584468973,92,64.86,-147.8,28.4,10.29
Beringovskiy,50,RU,1584468725,88,63.05,179.32,22.55,11.3
Kopāganj,0,IN,1584468973,40,26.02,83.57,70.43,5.66
Khandagayty,62,RU,1584468973,93,50.73,92.05,14.45,1.99
Balkhash,93,KZ,1584468974,71,46.84,74.98,38.75,6.58
Ofakim,60,IL,1584468974,80,31.31,34.62,53.01,1.99
Atlixco,5,MX,1584468697,37,18.91,-98.44,68,4.7
Tigil',70,RU,1584468974,89,57.8,158.67,5.63,6.42
Kindersley,40,CA,1584468757,73,51.47,-109.17,21.2,5.82
Sisophon,2,KH,1584468974,69,13.59,102.97,82.85,8.68
Prince Rupert,1,CA,1584468908,93,54.32,-130.32,35.6,3.36
Isangel,87,VU,1584468975,80,-19.55,169.27,78.53,13.78
Westport,100,NZ,1584468975,95,-41.75,171.6,52.79,7.7
Juneau,75,US,1584468975,86,58.3,-134.42,33.01,1.79
Bundaberg,75,AU,1584468975,82,-24.85,152.35,68,6.93
Belmonte,20,BR,1584468975,66,-15.86,-38.88,86,10.29
Mahina,75,PF,1584468975,74,-17.51,-149.49,86,8.05
Nemuro,0,JP,1584468976,78,43.32,145.57,32.27,8.03
Dingle,90,IE,1584468976,87,52.14,-10.27,55.4,24.16
Wundanyi,100,KE,1584468976,87,-3.4,38.36,73.67,5.08
Port Hedland,46,AU,1584468906,88,-20.32,118.57,80.6,4.7
Moranbah,0,AU,1584468976,86,-22,148.05,66.11,10.65
Port Blair,100,IN,1584468839,71,11.67,92.75,83.03,3.87
Jasper,70,CA,1584468864,88,52.88,-118.09,21.83,6.06
Alexandria,40,EG,1584468704,50,31.22,29.96,57.2,20.8
Kourou,37,GF,1584468977,58,5.16,-52.65,87.8,10.29
Karligan,18,PH,1584468977,82,14.97,122.05,75.47,10.47
Luba,20,GQ,1584468977,84,3.46,8.55,86,10.29
Sibolga,97,ID,1584468977,93,1.74,98.78,70.79,3.27
Tabuk,20,SA,1584468972,19,28.38,36.58,68,13.87
Klaksvík,23,FO,1584468978,60,62.23,-6.59,39.2,17.22
Hirara,61,JP,1584468978,57,24.8,125.28,69.89,6.76
Sos'va,62,RU,1584468978,84,59.18,61.86,28.13,10.6
Kamaishi,54,JP,1584468978,83,39.27,141.88,39.11,8.23
Ucluelet,90,CA,1584468879,93,48.93,-125.55,42.01,2.24
Fort Nelson,75,CA,1584468978,67,58.81,-122.7,21.2,2.24
Kaeo,0,NZ,1584468978,87,-35.1,173.78,52,1.01
Taber,75,CA,1584468908,55,49.82,-112.15,33.8,25.28
Kirensk,98,RU,1584468979,88,57.79,108.11,15.89,11.65
Grand Gaube,40,MU,1584468979,88,-20.01,57.66,77,3.36
Back Mountain,90,US,1584468838,65,41.34,-76,48.99,10.29
Dunedin,6,NZ,1584468979,73,-45.87,170.5,48.99,6.71
Havøysund,75,NO,1584468979,74,71,24.66,28.4,6.93
Aklavik,75,CA,1584468980,85,68.22,-135.01,14,3.36
Muroto-misakicho,6,JP,1584468980,70,33.28,134.15,43.97,3.96
Fallon,90,US,1584468980,93,39.47,-118.78,39.99,12.75
Los Llanos de Aridane,75,ES,1584468980,82,28.66,-17.92,62.6,11.41
West Milford,90,US,1584468980,70,41.13,-74.37,53.01,5.82
Alamogordo,20,US,1584468980,42,32.9,-105.96,66,18.34
Oni,100,GE,1584468848,98,42.58,43.44,27.59,3.83
Vangaindrano,72,MG,1584468981,96,-23.35,47.6,72.95,5.53
Nambucca Heads,75,AU,1584468844,88,-30.65,153,62.6,8.05
Kaliua,100,TZ,1584468981,98,-5.06,31.79,67.19,5.21
Schwedt,83,DE,1584468981,59,53.06,14.28,51.01,7.45
Kuantan,20,MY,1584468981,94,3.81,103.33,75.2,3.36
Cananea,100,MX,1584468981,34,30.95,-110.3,62.01,1.01
Coquimbo,20,CL,1584468982,64,-29.95,-71.34,68,10.29
Duluth,1,US,1584468931,54,46.78,-92.11,35.01,13.87
Xining,91,CN,1584468982,45,36.62,101.77,32.81,2.21
Port Hueneme,75,US,1584468982,58,34.15,-119.2,55.4,3.36
Nyurba,100,RU,1584468982,93,63.28,118.33,-6.79,6.38
Aykhal,76,RU,1584468982,68,66,111.5,-16.6,4.47
Governador Valadares,66,BR,1584468983,69,-18.85,-41.95,84.11,1.68
Corner Brook,90,CA,1584468727,58,48.97,-57.95,30.2,17.22
Mpika,49,ZM,1584468983,95,-11.83,31.45,63.05,3.94
Beidao,33,CN,1584468983,32,34.57,105.89,44.87,3.42
Hamilton,40,BM,1584468822,63,32.29,-64.78,69.01,9.17
Hare Bay,20,CA,1584468983,42,48.85,-54.01,30.2,16.11
Waggaman,90,US,1584468983,61,29.92,-90.21,82.99,3.36
Choma,81,ZM,1584468984,96,-16.81,26.95,61.43,3.8
Ilhéus,20,BR,1584468984,74,-14.79,-39.05,86,10.29
Shawville,98,CA,1584468984,81,45.6,-76.48,42.01,1.01
Merowe,0,SD,1584468984,13,18.48,31.82,79.97,8.93
Corleone,75,IT,1584468984,67,37.81,13.3,60.8,2.24
Rawson,0,AR,1584468984,72,-43.3,-65.1,60.89,15.9
Marsh Harbour,0,BS,1584468984,67,26.54,-77.06,73.31,8.9
Namatanai,96,PG,1584468985,78,-3.67,152.43,81.77,12.73
Mawlaik,0,MM,1584468985,36,23.63,94.42,69.53,2.77
La Romana,75,DO,1584468985,74,18.43,-68.97,82.4,13.87
Morehead,79,PG,1584468985,97,-8.71,141.64,73.13,2.75
Balkanabat,97,TM,1584468985,70,39.51,54.37,49.19,1.7
Sri Aman,51,MY,1584468985,94,1.24,111.46,77,2.82
Chauk,0,MM,1584468985,42,20.88,94.82,75.65,10.96
Lyuban',74,BY,1584468986,81,52.8,28,38.57,1.12
Uray,99,RU,1584468748,85,60.12,64.78,27.41,13.38
Isla Vista,90,US,1584468778,81,34.41,-119.86,54,3.36
Pathein,0,MM,1584468976,72,16.78,94.73,78.89,10.63
Hobyo,1,SO,1584468986,74,5.35,48.53,79.43,15.32
Mēga,72,ET,1584468987,47,4.05,38.3,76.01,9.57
Kozhva,82,RU,1584468987,89,65.11,57.05,21.65,10.71
Kazanskoye,50,RU,1584468987,82,55.64,69.23,26.33,17.94
Caravelas,9,BR,1584468689,73,-17.71,-39.25,81.77,8.84
Eureka,90,US,1584468863,70,40.8,-124.16,46.4,6.93
Khovd,17,MN,1584468987,47,48.01,91.64,28.13,2.3
